brewery_id,beer_id,name,brewery,style,abv,ratings,ba_score,avg,url
1199,47658,CBS (Canadian Breakfast Stout),Founders Brewing Company,"6,847",4.64,,,,https://www.beeradvocate.com/beer/profile/1199/47658/
28743,86237,Julius,Tree House Brewing Company,"5,159",4.64,,,,https://www.beeradvocate.com/beer/profile/28743/86237/
32319,157262,Anabasis,Side Project Brewing,323,4.66,,,,https://www.beeradvocate.com/beer/profile/32319/157262/
28743,420834,Very GGGreennn,Tree House Brewing Company,537,4.65,,,,https://www.beeradvocate.com/beer/profile/28743/420834/
28019,136652,Westly,Sante Adairius Rustic Ales,457,4.65,,,,https://www.beeradvocate.com/beer/profile/28019/136652/
32319,126669,Oude Fermier,Side Project Brewing,187,4.67,,,,https://www.beeradvocate.com/beer/profile/32319/126669/
22511,58299,Abner,Hill Farmstead Brewery,"2,942",4.63,,,,https://www.beeradvocate.com/beer/profile/22511/58299/
28743,174063,Jjjuliusss,Tree House Brewing Company,"1,147",4.63,,,,https://www.beeradvocate.com/beer/profile/28743/174063/
32319,168050,Framboise Du Fermier,Side Project Brewing,359,4.64,,,,https://www.beeradvocate.com/beer/profile/32319/168050/
20681,115317,Dinner,Maine Beer Company,"2,834",4.62,,,,https://www.beeradvocate.com/beer/profile/20681/115317/
17980,64545,Double Sunshine,Lawson's Finest Liquids,"2,795",4.62,,,,https://www.beeradvocate.com/beer/profile/17980/64545/
32319,523603,DM,Side Project Brewing,65,4.73,,,,https://www.beeradvocate.com/beer/profile/32319/523603/
69717,51116,Duck Duck Gooze,The Lost Abbey - Vista,"2,004",4.62,,,,https://www.beeradvocate.com/beer/profile/69717/51116/
388,3659,Lou Pepe - Kriek,Brasserie Cantillon,"1,903",4.62,,,,https://www.beeradvocate.com/beer/profile/388/3659/
31805,77563,Morning Wood,Funky Buddha Brewery,"1,260",4.62,,,,https://www.beeradvocate.com/beer/profile/31805/77563/
396,123286,Speedway Stout - Vietnamese Coffee - Bourbon Barrel-Aged,AleSmith Brewing Company,"1,145",4.62,,,,https://www.beeradvocate.com/beer/profile/396/123286/
313,1545,Trappist Westvleteren 12 (XII),Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),"6,905",4.61,,,,https://www.beeradvocate.com/beer/profile/313/1545/
22511,81697,Ann,Hill Farmstead Brewery,478,4.62,,,,https://www.beeradvocate.com/beer/profile/22511/81697/
28743,259249,Doubleganger,Tree House Brewing Company,"1,265",4.61,,,,https://www.beeradvocate.com/beer/profile/28743/259249/
32409,402412,The Adjunct Trail - Bourbon Barrel-Aged,Angry Chair Brewing,127,4.66,,,,https://www.beeradvocate.com/beer/profile/32409/402412/
32319,104649,Fuzzy,Side Project Brewing,"1,045",4.61,,,,https://www.beeradvocate.com/beer/profile/32319/104649/
31805,179485,Snowed In - Bourbon Barrel-Aged,Funky Buddha Brewery,405,4.62,,,,https://www.beeradvocate.com/beer/profile/31805/179485/
22511,126517,Aaron,Hill Farmstead Brewery,698,4.61,,,,https://www.beeradvocate.com/beer/profile/22511/126517/
1146,10672,Bourbon County Brand Stout,Goose Island Beer Co.,"13,507",4.6,,,,https://www.beeradvocate.com/beer/profile/1146/10672/
2210,41815,Parabola,Firestone Walker Brewing Co.,"7,294",4.6,,,,https://www.beeradvocate.com/beer/profile/2210/41815/
22511,69522,Double Citra,Hill Farmstead Brewery,"2,151",4.6,,,,https://www.beeradvocate.com/beer/profile/22511/69522/
25888,141394,Maman,Perennial Artisan Ales,511,4.61,,,,https://www.beeradvocate.com/beer/profile/25888/141394/
31540,169616,Nectarine Premiere,de Garde Brewing,435,4.61,,,,https://www.beeradvocate.com/beer/profile/31540/169616/
1199,19960,KBS,Founders Brewing Company,"14,247",4.59,,,,https://www.beeradvocate.com/beer/profile/1199/19960/
28743,541512,Very HHHazyyy,Tree House Brewing Company,341,4.61,,,,https://www.beeradvocate.com/beer/profile/28743/541512/
24018,94634,Atrial Rubicite,Jester King Brewery,"2,087",4.59,,,,https://www.beeradvocate.com/beer/profile/24018/94634/
22511,67760,Double Galaxy,Hill Farmstead Brewery,"1,704",4.59,,,,https://www.beeradvocate.com/beer/profile/22511/67760/
22511,163263,Flora Plum,Hill Farmstead Brewery,402,4.6,,,,https://www.beeradvocate.com/beer/profile/22511/163263/
43481,186936,Headroom,Trillium Brewing Company,862,4.59,,,,https://www.beeradvocate.com/beer/profile/43481/186936/
32319,310387,Coconut Vibes,Side Project Brewing,237,4.61,,,,https://www.beeradvocate.com/beer/profile/32319/310387/
43481,134064,Double Dry Hopped Congress Street,Trillium Brewing Company,"1,663",4.58,,,,https://www.beeradvocate.com/beer/profile/43481/134064/
24822,316306,Ghost In The Machine - Double Dry-Hopped,Parish Brewing Company,485,4.59,,,,https://www.beeradvocate.com/beer/profile/24822/316306/
